Idx,Kind,T,DurField,Line
97,start,289.781,,"[silencedetect @ 000001d1ec14d600] silence_start: 289.781313"
98,end,290.532,0.751,"[silencedetect @ 000001d1ec14d600] silence_end: 290.532062 | silence_duration: 0.75075"
99,start,294.845,,"[silencedetect @ 000001d1ec14d600] silence_start: 294.844688"
100,end,296.625,1.78,"[silencedetect @ 000001d1ec14d600] silence_end: 296.624813 | silence_duration: 1.780125"
101,start,300.101,,"[silencedetect @ 000001d1ec14d600] silence_start: 300.10075"
102,end,300.616,0.515,"[silencedetect @ 000001d1ec14d600] silence_end: 300.615625 | silence_duration: 0.514875"
103,start,303.083,,"[silencedetect @ 000001d1ec14d600] silence_start: 303.083"
104,end,304.989,1.906,"[silencedetect @ 000001d1ec14d600] silence_end: 304.988563 | silence_duration: 1.905563"
105,start,309.81,,"[silencedetect @ 000001d1ec14d600] silence_start: 309.810125"
106,end,310.573,0.763,"[silencedetect @ 000001d1ec14d600] silence_end: 310.573188 | silence_duration: 0.763062"
107,start,314.079,,"[silencedetect @ 000001d1ec14d600] silence_start: 314.078625"
108,end,315.864,1.785,"[silencedetect @ 000001d1ec14d600] silence_end: 315.864062 | silence_duration: 1.785438"
109,start,321.03,,"[silencedetect @ 000001d1ec14d600] silence_start: 321.029688"
